word,count
captain,39
captain.,2
captains.,1
captiv,1
car,17
"car, ",2
cardin,1
cardiologist,1
career-high-ti,1
career-threaten,1
careers.,3
cari,3
caricatur,1
carniv,1
carolin,1
"carolina,",2
carp,1
carrel,1
"carroll,",2
carter-william,5
carter.,4
case.),1
"cases,",3
cash-back,1
cast,23
casual,7
catch-and-shoot,33
catherin,1
"caught,",1
cause.,3
"causes,",2
cautioned:,1
cautious,5
cavalier.,1
cavs',39
cavs-bul,1
cavs.,24
cavs’,37
cba,18
cba?,1
cedevita,4
ceiling.,2
celebr,59
"celebrex,",1
cell,3
celtics,2
celtics!!,1
celtics),2
celtics presid,1
cent,2
center?,1
centerfield,1
centers.,5
ceremony.,2
certain,52
certainti,8
"cha,",2
chad,1
challenges!,1
"challenging,",1
champions.’,1
championship-mind,1
championship. ,3
championships. ,1
chance.,7
chances.,2
chang,248
change;,1
changed.,10
channel,11
"channels,",2
chaotic,2
charact,14
character,3
characterist,4
chariti,9
charli,5
charlotte's nicola,1
charlottesvil,3
charlotte ,2
charter,4
"charters,",1
chartouni,1
"charts,",1
chasm,1
cheatham:,1
check,65
"check,",1
checked.,1
cheddar,1
cheeks [player],1
chees,1
chef,3
chemistri,21
cherri,1
chess,3
"chess,",1
chest-deep,1
"chevrolet,",1
chicago's derrick,1
"chicago, wher",1
chicago?,3
chihuli,1
child,13
"child,",3
chinanu,1
"chins,",2
chippi,1
chippy.'',1
choice),1
choosing.,1
choppy.,1
chops.,1
chosen,33
chri,211
chronic,5
chronicl,6
chug,1
chyna,14
"chyna,",3
"chyna,’’",1
cigarett,3
circu,4
citizen,13
"citizens,",2
"citizenship,",1
city)37. sacramento,1
city/countri,1
civility.,1
"civilizations,",1
clandel,2
clank,1
"clarkson,",9
classic,14
claud,1
claustrophobic.,2
clayborn,4
clean,24
clear.,2
clearer,3
"clergy,",2
cleveland),1
cleveland) and,1
"cleveland.com,",1
cleveland.com:,1
cleveland. lebron,1
cleveland—maybe—might,1
cleveland’,43
cliché,2
clicking.,3
clifford',2
clifford.,3
climb.,1
clinch,19
"clinic,",1
clippers),4
clippers (from,1
clippers may,1
clips;,1
clobber,2
cloned.,2
"closed,",2
closed.'',1
"closer,",3
cloud,3
"clues,",1
clump,1
clumsi,1
clutch,19
clutter,2
co-captain,2
co-exist,1
co-own,2
"coach),",3
coach?,3
"coachable,",1
coaches;,1
coaching/athlet,1
coast,13
cobo,1
cockey,1
cockl,1
codi,11
coincid,10
"colangelo,",10
colangelo:,2
colin,4
colleagues.,2
college ,2
collins,1
collins                                         ,1
coloss,3
columbu,1
column.,4
combine,1
comedian,2
come…befor,1
comfort,68
comfy.,1
"coming,’",1
coming…,1
command,12
commenc,2
comments.,6
commish,1
"commissioner,",5
committed to build,1
"common,",1
common:,1
commonplac,1
communities. ,1
"community,",15
"companies,",1
"company,",9
company’s top,1
comparison,10
competing.,2
"competitions,",3
"competitive,",2
competitor.,1
"competitors,",1
complac,7
complacency.,2
completed.,1
completely.,3
comprehend,2
compromis,6
comps,1
computers.,1
concuss,18
condemn,4
confeder,1
confer,591
"conference,",52
conference:,2
confess,1
"confidence,",3
"confident,",2
confus,9
congo-n,1
congrat,15
"congress,",3
connect.,1
connecticut,8
connections.,1
conni,6
"consecutive game,",1
consent.,1
"consideration,",2
considered.,2
"consistently,",1
consolid,2
constantli,13
"constituents,",1
"construction,",3
"consummated,",1
contact.,2
"contenders,",2
content,22
contenti,1
contest.,10
continent,3
"continent,",6
continued......,1
continues.,4
contract.,40
contract status.,1
contrarian,1
contribut,88
contribute.,2
contributor,13
"contributors,",1
control,70
contus,7
conven,1
conversation.,9
cook,13
cooking.,1
cool.,4
"cops,",1
cordial,1
cori,8
corner!,1
correl,2
corrupt,2
cortic,1
cost,33
costli,4
costlier,1
council,12
counter,5
"counters,",3
"countless,",1
"country,",12
country |,2
country’,6
"counts,",1
course. ,1
court.'',1
court;,1
courtship-from-afar,1
"cousin,",3
cousins',6
cousins.,9
cousins suff,1
coverag,34
"coverage,",3
covet,10
"covington,",6
coy,4
crabbekey,1
craft,9
"craft,",2
craigsagerbook.com.,1
craig’,1
craveabl,1
crazi,27
crazy;,1
cream,3
creat,138
"creation,",1
credibility.,1
credit.,4
cri,8
cringe-worthy.,1
critic,84
critically-acclaim,1
critically.,1
"crossover,",2
crowd,56
"crowd,",5
crucial,10
crucial.,3
"crucible,",1
cska,3
csn',1
cuban’,1
cuisin,1
cul-de-sac,1
cultiv,3
culture-chang,1
cunningham,3
"current,",2
curri,320
"curriculum,",1
curry-onto-jam,1
custom-mad,3
cute,3
cyril,2
czech,2
c’mon,1
"c’mon,",1
d-lee,1
d-wade,1
da,1
dagger,2
dai,1
dakari,4
daldridgetntarch,64
"dalembert,",1
dalla,146
dallas. th,1
"daly,",2
damage.,2
dana,1
danger,23
dangl,2
darren,4
"data,",4
date.,12
dave,19
david,297
"david,",1
davon,2
"day-after-day,",1
day-and-a-half.,1
day-to-day,3
day-to-day.,1
days from,1
"dayton,",1
dead,5
deadli,4
deal.,95
deal. ,2
dealt,50
"dealt,",4
dealt:,1
deal in,4
dear,7
dearbasketbal,2
dearli,1
"debate,",2
"decade,",7
decades!!,1
decay.,2
